Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Clear,City Road,Afternoon,3.0,60.0,1.0,0.0,Low,Dry,Truck,69.0,47.0,Daylight,0.0
Cloudy,City Road,Morning,2.0,50.0,2.0,0.0,Fatal,Dry,Truck,64.0,23.0,Daylight,0.0
Cloudy,City Road,Night,2.0,40.0,5.0,0.0,Medium,Dry,Truck,20.0,0.0,Dark,1.0
Clear,City Road,Evening,3.0,30.0,5.0,0.0,Medium,Dry,Van,61.0,18.0,Artificial Light,0.0
Clear,City Road,Afternoon,3.0,60.0,1.0,0.0,Low,Dry,Van,19.0,1.0,Daylight,0.0
Foggy,Intersection,Evening,1.0,40.0,3.0,0.0,Low,Dry,Truck,28.0,5.0,Daylight,0.0
Cloudy,Highway,Afternoon,2.0,120.0,2.0,0.14,Low,Dry,Motorcycle,18.0,0.0,Daylight,1.0
Cloudy,City Road,Evening,1.0,30.0,4.0,0.0,Low,Dry,Car,30.0,11.0,Artificial Light,0.0
Foggy,City Road,Morning,2.0,50.0,3.0,0.0,Low,Wet,Car,68.0,43.0,Daylight,0.0
Rainy,Highway,Night,4.0,80.0,4.0,0.12,Low,Icy,Car,33.0,0.0,Dark,1.0
Clear,Rural Road,Afternoon,2.0,80.0,5.0,0.11,Low,Dry,Car,23.0,3.0,Daylight,0.0
Clear,City Road,Morning,2.0,40.0,2.0,0.0,Low,Dry,Motorcycle,42.0,24.0,Daylight,0.0
Clear,Highway,Evening,2.0,100.0,3.0,0.0,Low,Dry,Motorcycle,31.0,3.0,Artificial Light,0.0
Clear,Intersection,Afternoon,1.0,40.0,2.0,0.0,High,Dry,Motorcycle,27.0,5.0,Daylight,0.0
Clear,Highway,Night,4.0,120.0,5.0,0.0,Medium,Dry,Truck,58.0,23.0,Artificial Light,0.0
Clear,Intersection,Evening,1.0,40.0,2.0,0.0,Medium,Dry,Car,64.0,38.0,Artificial Light,0.0
Clear,Intersection,Night,2.0,40.0,3.0,0.0,Low,Dry,Car,55.0,28.0,Artificial Light,0.0
Clear,Rural Road,Morning,1.0,100.0,2.0,0.0,Medium,Dry,Car,53.0,15.0,Dawn/Dusk,0.0
Clear,Highway,Afternoon,3.0,120.0,1.0,0.09,Low,Under Construction,Car,27.0,1.0,Daylight,1.0
Rainy,Highway,Afternoon,1.0,100.0,3.0,0.0,Low,Wet,Motorcycle,51.0,13.0,Daylight,0.0
Snowy,Highway,Evening,3.0,100.0,3.0,0.0,Medium,Icy,Car,72.0,42.0,Daylight,1.0
Clear,Rural Road,Night,1.0,80.0,4.0,0.0,Medium,Dry,Car,51.0,21.0,Artificial Light,1.0
Clear,Highway,Evening,3.0,120.0,1.0,0.0,Medium,Dry,Car,42.0,16.0,Artificial Light,0.0
Rainy,City Road,Evening,2.0,40.0,3.0,0.0,Low,Wet,Motorcycle,20.0,1.0,Daylight,0.0
Clear,Rural Road,Evening,1.0,60.0,4.0,0.0,Low,Under Construction,Car,55.0,11.0,Artificial Light,0.0
Foggy,Intersection,Afternoon,1.0,30.0,3.0,0.0,Low,Dry,Car,44.0,26.0,Daylight,0.0
Clear,Rural Road,Afternoon,2.0,100.0,2.0,0.0,Medium,Under Construction,Car,32.0,12.0,Dawn/Dusk,0.0
Rainy,Rural Road,Afternoon,2.0,80.0,4.0,0.0,Low,Icy,Car,24.0,0.0,Daylight,1.0
Rainy,Highway,Afternoon,3.0,120.0,4.0,0.0,Low,Wet,Bus,39.0,19.0,Daylight,1.0
Rainy,Highway,Night,1.0,80.0,3.0,0.0,High,Icy,Bus,46.0,14.0,Dark,1.0
Clear,City Road,Afternoon,2.0,50.0,2.0,0.0,High,Under Construction,Truck,39.0,21.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,60.0,3.0,0.0,Medium,Wet,Car,18.0,0.0,Daylight,0.0
Clear,Highway,Night,3.0,80.0,3.0,0.0,High,Dry,Car,54.0,14.0,Artificial Light,1.0
Rainy,City Road,Morning,1.0,40.0,1.0,0.0,Low,Wet,Car,24.0,0.0,Daylight,1.0
Clear,Highway,Evening,3.0,120.0,1.0,0.06,Low,Under Construction,Car,51.0,7.0,Daylight,0.0
Clear,Rural Road,Morning,2.0,100.0,5.0,0.01,Medium,Dry,Car,53.0,2.0,Daylight,0.0
Clear,City Road,Evening,2.0,30.0,3.0,0.0,Low,Under Construction,Car,31.0,13.0,Dawn/Dusk,0.0
Clear,Intersection,Afternoon,2.0,30.0,3.0,0.0,Low,Dry,Car,50.0,3.0,Daylight,1.0
Rainy,Highway,Evening,1.0,120.0,1.0,0.0,Low,Icy,Car,25.0,7.0,Artificial Light,1.0
Cloudy,Rural Road,Afternoon,1.0,80.0,4.0,0.0,Low,Dry,Car,63.0,18.0,Daylight,0.0
Clear,City Road,Evening,1.0,50.0,1.0,0.14,Low,Under Construction,Car,22.0,4.0,Daylight,0.0
Clear,City Road,Night,1.0,40.0,5.0,0.0,Medium,Dry,Car,63.0,8.0,Artificial Light,0.0
Clear,Rural Road,Afternoon,1.0,60.0,1.0,0.0,Low,Dry,Truck,39.0,20.0,Daylight,1.0
Cloudy,Intersection,Morning,2.0,40.0,2.0,0.0,Low,Dry,Car,54.0,21.0,Dawn/Dusk,0.0
Clear,Rural Road,Evening,2.0,80.0,4.0,0.12,Medium,Dry,Car,62.0,40.0,Daylight,0.0
Clear,Highway,Night,2.0,100.0,5.0,0.0,Low,Dry,Motorcycle,66.0,4.0,Artificial Light,0.0
Rainy,Rural Road,Night,2.0,60.0,5.0,0.07,Low,Wet,Motorcycle,53.0,14.0,Artificial Light,1.0
Rainy,Highway,Evening,2.0,120.0,2.0,0.0,Medium,Wet,Car,33.0,14.0,Artificial Light,1.0
Cloudy,City Road,Afternoon,3.0,40.0,2.0,0.06,Medium,Dry,Truck,36.0,3.0,Daylight,0.0
Clear,Highway,Evening,3.0,100.0,1.0,0.0,Low,Under Construction,Motorcycle,32.0,8.0,Artificial Light,0.0
Rainy,Highway,Morning,3.0,80.0,3.0,0.0,High,Wet,Car,68.0,43.0,Daylight,1.0
Clear,City Road,Afternoon,2.0,40.0,4.0,0.0,Low,Dry,Bus,50.0,19.0,Daylight,0.0
Foggy,City Road,Morning,1.0,60.0,2.0,0.0,Low,Wet,Bus,19.0,0.0,Daylight,1.0
Cloudy,Intersection,Afternoon,2.0,40.0,3.0,0.0,Low,Dry,Car,53.0,1.0,Daylight,0.0
Rainy,City Road,Night,2.0,40.0,4.0,0.0,Low,Icy,Car,41.0,3.0,Dark,1.0
Cloudy,Rural Road,Afternoon,2.0,60.0,4.0,0.0,Low,Dry,Car,44.0,25.0,Daylight,0.0
Foggy,City Road,Night,1.0,50.0,5.0,0.0,Medium,Dry,Car,59.0,18.0,Artificial Light,1.0
Cloudy,City Road,Night,3.0,30.0,5.0,0.0,Low,Dry,Bus,69.0,28.0,Dark,1.0
Cloudy,Rural Road,Morning,2.0,100.0,5.0,0.0,Low,Dry,Motorcycle,36.0,11.0,Daylight,1.0
Rainy,Rural Road,Evening,2.0,80.0,3.0,0.0,Low,Wet,Bus,56.0,36.0,Artificial Light,1.0
Clear,Highway,Morning,1.0,80.0,2.0,0.0,Low,Dry,Car,34.0,6.0,Daylight,0.0
Snowy,Highway,Morning,1.0,80.0,2.0,0.0,Low,Icy,Car,43.0,1.0,Daylight,1.0
Rainy,Highway,Morning,3.0,120.0,1.0,0.0,Low,Wet,Motorcycle,36.0,7.0,Daylight,0.0
Foggy,City Road,Morning,3.0,60.0,3.0,0.0,Low,Wet,Motorcycle,74.0,30.0,Daylight,1.0
Foggy,City Road,Afternoon,1.0,40.0,5.0,0.0,Low,Wet,Car,33.0,15.0,Dawn/Dusk,1.0
Cloudy,City Road,Evening,3.0,50.0,1.0,0.0,Low,Under Construction,Motorcycle,73.0,10.0,Artificial Light,0.0
Rainy,Highway,Afternoon,3.0,100.0,2.0,0.03,Low,Wet,Truck,66.0,33.0,Daylight,1.0
Foggy,Rural Road,Morning,1.0,100.0,5.0,0.0,Low,Wet,Truck,65.0,22.0,Daylight,0.0
Foggy,City Road,Afternoon,3.0,30.0,2.0,0.0,Medium,Wet,Truck,59.0,41.0,Daylight,0.0
Cloudy,City Road,Morning,3.0,30.0,2.0,0.0,Fatal,Dry,Truck,39.0,8.0,Daylight,0.0
Clear,Highway,Evening,4.0,100.0,5.0,0.0,High,Dry,Car,47.0,0.0,Artificial Light,0.0
Cloudy,Rural Road,Morning,1.0,80.0,5.0,0.0,Low,Dry,Car,67.0,39.0,Dawn/Dusk,1.0
Rainy,Highway,Afternoon,4.0,120.0,3.0,0.1,Low,Wet,Truck,46.0,26.0,Daylight,1.0
Rainy,City Road,Afternoon,3.0,50.0,1.0,0.0,Low,Wet,Motorcycle,60.0,20.0,Daylight,1.0
Rainy,Intersection,Night,1.0,30.0,5.0,0.06,High,Wet,Car,66.0,18.0,Dark,1.0
Foggy,Rural Road,Evening,2.0,80.0,5.0,0.09,Low,Dry,Car,72.0,34.0,Artificial Light,1.0
Foggy,Highway,Morning,4.0,100.0,4.0,0.0,Low,Wet,Car,38.0,1.0,Daylight,1.0
Clear,Highway,Afternoon,1.0,120.0,2.0,0.0,Low,Dry,Car,31.0,3.0,Daylight,0.0
Cloudy,City Road,Night,3.0,60.0,1.0,0.0,Medium,Dry,Car,34.0,7.0,Dark,0.0
Clear,Highway,Night,2.0,120.0,1.0,0.0,Low,Dry,Car,46.0,3.0,Dark,1.0
Rainy,City Road,Morning,3.0,50.0,4.0,0.0,High,Wet,Van,20.0,1.0,Daylight,1.0
Foggy,Highway,Night,3.0,120.0,3.0,0.0,Medium,Dry,Motorcycle,35.0,3.0,Dark,1.0
Clear,Rural Road,Afternoon,2.0,60.0,2.0,0.0,Low,Dry,Car,37.0,16.0,Daylight,0.0
Foggy,Rural Road,Afternoon,1.0,80.0,3.0,0.0,Low,Dry,Car,48.0,30.0,Daylight,1.0
Clear,City Road,Evening,2.0,60.0,2.0,0.0,Low,Dry,Car,73.0,7.0,Dawn/Dusk,0.0
Snowy,City Road,Morning,2.0,50.0,2.0,0.0,Low,Wet,Car,41.0,6.0,Daylight,0.0
Clear,Highway,Evening,1.0,100.0,5.0,0.0,Low,Dry,Car,54.0,19.0,Dawn/Dusk,1.0
Cloudy,City Road,Night,3.0,60.0,3.0,0.05,Fatal,Dry,Car,20.0,0.0,Artificial Light,1.0
Clear,Rural Road,Afternoon,1.0,60.0,4.0,0.0,Low,Dry,Car,50.0,27.0,Daylight,0.0
Clear,Intersection,Evening,1.0,40.0,2.0,0.0,Low,Dry,Car,59.0,16.0,Artificial Light,0.0
Snowy,City Road,Afternoon,2.0,50.0,2.0,0.0,Low,Icy,Car,70.0,28.0,Daylight,1.0
Foggy,City Road,Afternoon,1.0,30.0,5.0,0.0,High,Wet,Car,71.0,21.0,Daylight,0.0
Clear,City Road,Afternoon,3.0,40.0,3.0,0.0,Low,Dry,Motorcycle,46.0,22.0,Dawn/Dusk,0.0
Foggy,City Road,Night,2.0,40.0,3.0,0.0,Medium,Wet,Van,37.0,5.0,Dark,1.0
Clear,Rural Road,Night,2.0,100.0,1.0,0.12,Low,Dry,Car,33.0,4.0,Dark,1.0
Cloudy,Highway,Evening,1.0,100.0,5.0,0.0,High,Dry,Motorcycle,74.0,40.0,Daylight,0.0
Rainy,Rural Road,Afternoon,1.0,100.0,5.0,0.0,Medium,Icy,Car,20.0,1.0,Daylight,1.0
Cloudy,City Road,Night,2.0,40.0,5.0,0.0,Medium,Dry,Car,53.0,26.0,Dark,1.0
Cloudy,City Road,Afternoon,3.0,40.0,5.0,0.0,High,Under Construction,Motorcycle,30.0,3.0,Daylight,1.0
Clear,Highway,Afternoon,2.0,100.0,3.0,0.0,High,Dry,Car,49.0,30.0,Daylight,0.0
Clear,Rural Road,Evening,2.0,100.0,1.0,0.0,Low,Under Construction,Bus,72.0,10.0,Artificial Light,1.0
Cloudy,City Road,Evening,2.0,30.0,3.0,0.0,Low,Dry,Car,42.0,17.0,Dawn/Dusk,0.0
Rainy,Highway,Morning,4.0,80.0,1.0,0.0,Low,Wet,Bus,38.0,8.0,Daylight,1.0
Clear,City Road,Night,3.0,40.0,1.0,0.0,Fatal,Dry,Car,71.0,16.0,Artificial Light,1.0
Clear,Rural Road,Morning,2.0,100.0,2.0,0.0,Low,Dry,Truck,54.0,15.0,Daylight,0.0
Cloudy,Highway,Morning,3.0,120.0,5.0,0.08,Low,Dry,Car,51.0,12.0,Dawn/Dusk,0.0
Clear,City Road,Night,1.0,40.0,5.0,0.0,Low,Dry,Car,21.0,3.0,Artificial Light,0.0
Rainy,City Road,Evening,3.0,30.0,3.0,0.02,Medium,Wet,Car,38.0,17.0,Artificial Light,0.0
Rainy,City Road,Evening,2.0,50.0,1.0,0.0,Fatal,Wet,Car,32.0,1.0,Daylight,0.0
Foggy,Highway,Afternoon,1.0,80.0,1.0,0.0,Low,Dry,Bus,21.0,0.0,Daylight,0.0
Cloudy,City Road,Afternoon,3.0,40.0,4.0,0.01,Low,Dry,Car,25.0,6.0,Daylight,1.0
Rainy,Rural Road,Evening,2.0,60.0,5.0,0.0,High,Wet,Car,61.0,8.0,Dawn/Dusk,1.0
Cloudy,Highway,Afternoon,4.0,120.0,2.0,0.0,Medium,Dry,Car,63.0,23.0,Daylight,0.0
Rainy,Highway,Evening,3.0,100.0,4.0,0.0,Low,Wet,Car,38.0,19.0,Artificial Light,1.0
Rainy,City Road,Night,3.0,30.0,2.0,0.0,Low,Icy,Car,47.0,17.0,Artificial Light,0.0
Snowy,Rural Road,Night,1.0,80.0,1.0,0.1,Low,Wet,Car,57.0,19.0,Artificial Light,0.0
Cloudy,Intersection,Afternoon,1.0,30.0,5.0,0.0,Medium,Dry,Car,42.0,0.0,Daylight,0.0
Cloudy,Rural Road,Morning,2.0,80.0,2.0,0.0,Low,Dry,Truck,42.0,22.0,Dawn/Dusk,0.0
Rainy,City Road,Night,2.0,60.0,3.0,0.0,Fatal,Icy,Car,59.0,33.0,Artificial Light,1.0
Rainy,Highway,Evening,1.0,80.0,2.0,0.0,Medium,Wet,Car,59.0,38.0,Dawn/Dusk,0.0
Foggy,Highway,Morning,2.0,80.0,2.0,0.03,Low,Dry,Car,55.0,22.0,Daylight,1.0
Clear,Rural Road,Afternoon,2.0,100.0,3.0,0.0,High,Dry,Car,44.0,15.0,Daylight,0.0
Foggy,Rural Road,Night,2.0,60.0,4.0,0.0,Low,Dry,Car,57.0,21.0,Dark,1.0
Clear,City Road,Night,2.0,40.0,2.0,0.03,Low,Dry,Bus,38.0,11.0,Dark,1.0
Clear,Rural Road,Morning,2.0,60.0,3.0,0.0,Low,Dry,Truck,38.0,8.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,40.0,1.0,0.0,High,Dry,Car,51.0,12.0,Daylight,1.0
Cloudy,Intersection,Afternoon,2.0,40.0,3.0,0.0,Medium,Dry,Bus,64.0,41.0,Daylight,0.0
Cloudy,Intersection,Afternoon,1.0,20.0,3.0,0.0,Low,Under Construction,Bus,55.0,17.0,Daylight,0.0
Clear,City Road,Evening,2.0,50.0,2.0,0.0,Low,Dry,Car,44.0,5.0,Artificial Light,0.0
Cloudy,City Road,Morning,2.0,50.0,3.0,0.0,Medium,Under Construction,Truck,27.0,4.0,Daylight,0.0
Rainy,Rural Road,Evening,2.0,100.0,4.0,0.09,Fatal,Icy,Car,26.0,2.0,Dawn/Dusk,1.0
Clear,Intersection,Night,1.0,40.0,3.0,0.0,Low,Under Construction,Truck,67.0,39.0,Artificial Light,0.0
Rainy,City Road,Morning,2.0,50.0,1.0,0.0,Medium,Wet,Car,23.0,2.0,Daylight,0.0
Rainy,Highway,Morning,2.0,80.0,5.0,0.01,Low,Wet,Truck,51.0,0.0,Daylight,0.0
Cloudy,Rural Road,Night,2.0,60.0,5.0,0.0,Medium,Dry,Motorcycle,69.0,10.0,Artificial Light,0.0
Cloudy,City Road,Night,2.0,30.0,2.0,0.0,Low,Dry,Bus,55.0,27.0,Dark,1.0
Cloudy,City Road,Night,2.0,30.0,3.0,0.0,Low,Dry,Car,49.0,5.0,Artificial Light,0.0
Clear,City Road,Evening,1.0,40.0,2.0,0.0,Medium,Dry,Bus,31.0,11.0,Dawn/Dusk,0.0
Clear,Highway,Afternoon,2.0,100.0,1.0,0.0,Medium,Dry,Truck,72.0,0.0,Daylight,1.0
Cloudy,City Road,Afternoon,1.0,50.0,1.0,0.0,Low,Under Construction,Car,23.0,0.0,Daylight,0.0
Cloudy,Intersection,Night,1.0,20.0,5.0,0.12,Low,Dry,Bus,19.0,0.0,Artificial Light,1.0
Rainy,City Road,Night,3.0,40.0,2.0,0.1,Medium,Wet,Car,23.0,1.0,Artificial Light,1.0
Clear,City Road,Afternoon,1.0,40.0,1.0,0.0,Low,Dry,Car,21.0,1.0,Daylight,0.0
Foggy,Highway,Night,4.0,100.0,4.0,0.0,Medium,Dry,Truck,68.0,39.0,Dark,1.0
Clear,City Road,Morning,1.0,40.0,4.0,0.0,High,Under Construction,Car,27.0,2.0,Daylight,0.0
Clear,Highway,Afternoon,2.0,80.0,2.0,0.14,Medium,Dry,Car,50.0,6.0,Daylight,0.0
Clear,City Road,Night,2.0,60.0,1.0,0.0,Low,Under Construction,Car,70.0,31.0,Artificial Light,1.0
Cloudy,City Road,Evening,3.0,60.0,3.0,0.0,Fatal,Under Construction,Car,49.0,3.0,Artificial Light,1.0
Snowy,Rural Road,Night,2.0,100.0,3.0,0.0,Low,Icy,Bus,25.0,6.0,Dark,1.0
Rainy,Highway,Afternoon,3.0,120.0,5.0,0.0,Fatal,Icy,Van,24.0,2.0,Daylight,1.0
Rainy,Rural Road,Morning,1.0,100.0,1.0,0.0,Low,Wet,Car,54.0,11.0,Daylight,0.0
Cloudy,Highway,Afternoon,3.0,120.0,2.0,0.07,Medium,Dry,Truck,26.0,7.0,Daylight,1.0
Snowy,City Road,Evening,3.0,30.0,5.0,0.0,Low,Icy,Bus,69.0,34.0,Artificial Light,1.0
Clear,Rural Road,Morning,1.0,60.0,1.0,0.0,Fatal,Dry,Truck,60.0,24.0,Daylight,1.0
Clear,City Road,Evening,1.0,40.0,1.0,0.0,Low,Dry,Van,36.0,18.0,Artificial Light,0.0
Clear,Highway,Evening,4.0,100.0,3.0,0.13,Medium,Dry,Car,46.0,12.0,Dawn/Dusk,0.0
Clear,City Road,Afternoon,1.0,40.0,2.0,0.07,Low,Dry,Car,61.0,39.0,Dawn/Dusk,1.0
Clear,Highway,Afternoon,1.0,80.0,4.0,0.0,Fatal,Dry,Car,19.0,1.0,Daylight,1.0
Snowy,City Road,Morning,2.0,50.0,3.0,0.0,High,Icy,Truck,52.0,6.0,Daylight,1.0
Clear,City Road,Evening,1.0,50.0,2.0,0.0,Medium,Dry,Car,71.0,7.0,Daylight,0.0
Cloudy,Highway,Morning,4.0,120.0,2.0,0.04,Medium,Dry,Car,51.0,33.0,Daylight,1.0
Cloudy,City Road,Afternoon,3.0,50.0,4.0,0.0,Medium,Dry,Van,64.0,42.0,Dawn/Dusk,1.0
Cloudy,City Road,Night,1.0,30.0,3.0,0.0,Low,Under Construction,Car,21.0,0.0,Artificial Light,0.0
Rainy,City Road,Morning,2.0,50.0,1.0,0.0,Medium,Wet,Car,30.0,3.0,Daylight,0.0
Foggy,Highway,Morning,3.0,120.0,4.0,0.0,Low,Dry,Truck,42.0,12.0,Daylight,0.0
Rainy,Highway,Afternoon,1.0,120.0,3.0,0.0,Medium,Wet,Motorcycle,55.0,22.0,Daylight,0.0
Clear,Rural Road,Evening,1.0,80.0,1.0,0.0,Low,Dry,Car,46.0,8.0,Artificial Light,1.0
Rainy,Highway,Morning,4.0,80.0,3.0,0.0,Low,Icy,Bus,60.0,28.0,Daylight,0.0
Clear,City Road,Morning,1.0,60.0,4.0,0.0,Low,Dry,Car,21.0,1.0,Daylight,0.0
Rainy,Intersection,Evening,1.0,30.0,1.0,0.0,Fatal,Wet,Motorcycle,38.0,6.0,Dawn/Dusk,0.0
Rainy,City Road,Evening,2.0,50.0,1.0,0.0,Low,Wet,Car,49.0,12.0,Daylight,1.0
Clear,Highway,Night,4.0,120.0,2.0,0.0,Low,Dry,Car,30.0,4.0,Artificial Light,1.0
Foggy,Intersection,Afternoon,1.0,20.0,4.0,0.0,Low,Wet,Car,27.0,3.0,Daylight,0.0
Cloudy,City Road,Afternoon,2.0,30.0,5.0,0.0,Low,Dry,Car,55.0,36.0,Daylight,0.0
Foggy,Highway,Night,1.0,100.0,5.0,0.0,Low,Wet,Truck,44.0,13.0,Artificial Light,1.0
Clear,Intersection,Evening,1.0,40.0,5.0,0.0,High,Dry,Car,28.0,9.0,Artificial Light,0.0
Clear,Rural Road,Morning,2.0,80.0,2.0,0.0,Low,Under Construction,Motorcycle,46.0,16.0,Daylight,1.0
Snowy,City Road,Morning,1.0,50.0,3.0,0.04,Low,Wet,Car,40.0,22.0,Daylight,1.0
Rainy,Highway,Evening,3.0,80.0,5.0,0.0,Low,Wet,Car,57.0,6.0,Daylight,1.0
Clear,Highway,Morning,3.0,80.0,4.0,0.0,Medium,Dry,Car,53.0,28.0,Daylight,0.0
Clear,Intersection,Afternoon,1.0,40.0,1.0,0.0,Low,Dry,Car,67.0,49.0,Daylight,0.0
Foggy,City Road,Evening,3.0,60.0,5.0,0.0,Medium,Wet,Car,67.0,33.0,Daylight,1.0
Foggy,Intersection,Afternoon,1.0,40.0,3.0,0.0,Low,Dry,Car,62.0,13.0,Daylight,0.0
Snowy,Highway,Afternoon,2.0,120.0,2.0,0.07,Medium,Icy,Car,63.0,14.0,Daylight,1.0
Rainy,City Road,Morning,2.0,50.0,2.0,0.0,Medium,Wet,Bus,36.0,12.0,Daylight,1.0
Foggy,Intersection,Afternoon,1.0,30.0,1.0,0.0,Low,Dry,Car,66.0,0.0,Daylight,1.0
Rainy,City Road,Night,3.0,50.0,3.0,0.1,High,Icy,Van,43.0,18.0,Artificial Light,1.0
Clear,Rural Road,Afternoon,1.0,80.0,1.0,0.0,Low,Under Construction,Car,70.0,0.0,Dawn/Dusk,0.0
Clear,Highway,Afternoon,2.0,80.0,1.0,0.06,Low,Under Construction,Motorcycle,60.0,9.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,50.0,5.0,0.0,High,Wet,Bus,56.0,4.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,60.0,2.0,0.0,Low,Wet,Car,32.0,12.0,Daylight,1.0
Rainy,Intersection,Afternoon,2.0,40.0,4.0,0.0,Low,Icy,Car,67.0,27.0,Daylight,1.0
Clear,Highway,Afternoon,4.0,80.0,4.0,0.0,Low,Dry,Car,30.0,7.0,Daylight,0.0
Snowy,City Road,Afternoon,3.0,40.0,2.0,0.0,Medium,Wet,Van,33.0,15.0,Daylight,0.0
Clear,City Road,Evening,2.0,50.0,1.0,0.13,Low,Dry,Truck,71.0,0.0,Artificial Light,1.0
Clear,Intersection,Morning,1.0,20.0,4.0,0.0,Low,Dry,Motorcycle,31.0,10.0,Daylight,1.0
Cloudy,Intersection,Morning,2.0,40.0,2.0,0.0,High,Dry,Car,39.0,15.0,Daylight,0.0
Cloudy,Rural Road,Morning,1.0,60.0,1.0,0.0,Fatal,Dry,Car,54.0,30.0,Daylight,0.0
Foggy,City Road,Morning,2.0,40.0,2.0,0.0,Low,Dry,Car,24.0,0.0,Daylight,1.0
Foggy,City Road,Afternoon,3.0,60.0,4.0,0.0,Low,Dry,Van,63.0,25.0,Dawn/Dusk,0.0
Clear,Highway,Afternoon,4.0,120.0,4.0,0.0,Low,Dry,Car,41.0,8.0,Daylight,0.0
Rainy,City Road,Night,1.0,30.0,2.0,0.0,Fatal,Wet,Motorcycle,59.0,2.0,Dark,0.0
Clear,Highway,Afternoon,3.0,100.0,3.0,0.12,Medium,Dry,Car,37.0,12.0,Daylight,0.0
Clear,Rural Road,Morning,2.0,60.0,2.0,0.0,Medium,Dry,Car,18.0,0.0,Daylight,0.0
Cloudy,Highway,Morning,1.0,100.0,2.0,0.0,Low,Dry,Van,52.0,6.0,Daylight,1.0
Rainy,Highway,Morning,2.0,120.0,5.0,0.0,Low,Wet,Car,48.0,0.0,Dawn/Dusk,0.0
Clear,Rural Road,Morning,1.0,80.0,3.0,0.11,High,Dry,Truck,66.0,23.0,Daylight,1.0
Clear,City Road,Morning,2.0,40.0,4.0,0.0,Medium,Dry,Motorcycle,68.0,48.0,Daylight,1.0
Clear,Highway,Evening,1.0,100.0,5.0,0.0,High,Dry,Truck,22.0,2.0,Artificial Light,1.0
Rainy,Highway,Morning,1.0,100.0,5.0,0.07,Low,Icy,Car,28.0,8.0,Daylight,1.0
Snowy,Highway,Afternoon,3.0,100.0,5.0,0.0,Medium,Wet,Car,24.0,1.0,Daylight,1.0
Clear,City Road,Night,2.0,30.0,4.0,0.08,Low,Dry,Bus,32.0,0.0,Dark,1.0
Clear,Rural Road,Morning,2.0,100.0,4.0,0.0,High,Dry,Car,47.0,8.0,Daylight,1.0
Rainy,Highway,Afternoon,4.0,120.0,3.0,0.06,Low,Wet,Car,65.0,15.0,Daylight,1.0
Foggy,City Road,Afternoon,3.0,40.0,4.0,0.14,Low,Dry,Car,68.0,7.0,Daylight,1.0
Clear,City Road,Morning,2.0,40.0,1.0,0.07,High,Under Construction,Truck,30.0,12.0,Daylight,1.0
Clear,City Road,Evening,1.0,60.0,3.0,0.0,Low,Under Construction,Motorcycle,72.0,25.0,Daylight,0.0
Cloudy,City Road,Night,2.0,40.0,1.0,0.0,Medium,Dry,Car,19.0,0.0,Dark,1.0
Clear,City Road,Morning,1.0,40.0,1.0,0.0,High,Dry,Truck,58.0,10.0,Daylight,0.0
Foggy,Highway,Afternoon,1.0,120.0,5.0,0.0,Medium,Wet,Car,30.0,7.0,Daylight,0.0
Clear,Highway,Afternoon,4.0,80.0,5.0,0.0,Low,Dry,Car,47.0,1.0,Daylight,0.0
Rainy,Highway,Evening,4.0,80.0,2.0,0.0,Low,Wet,Car,21.0,3.0,Artificial Light,1.0
Snowy,Rural Road,Afternoon,1.0,80.0,1.0,0.0,Low,Wet,Bus,19.0,1.0,Daylight,0.0
Clear,Highway,Evening,2.0,120.0,5.0,0.0,Low,Dry,Car,51.0,30.0,Artificial Light,1.0
Cloudy,Highway,Morning,2.0,80.0,2.0,0.0,Low,Dry,Truck,18.0,0.0,Daylight,1.0
Rainy,Rural Road,Morning,1.0,80.0,1.0,0.14,Low,Wet,Van,43.0,8.0,Daylight,0.0
Clear,Rural Road,Evening,1.0,80.0,4.0,0.0,Low,Dry,Car,42.0,14.0,Daylight,0.0
Clear,Intersection,Afternoon,2.0,20.0,5.0,0.0,Medium,Under Construction,Motorcycle,49.0,7.0,Daylight,1.0
Rainy,Rural Road,Morning,2.0,100.0,5.0,0.0,High,Wet,Car,37.0,0.0,Daylight,0.0
Clear,City Road,Evening,3.0,40.0,2.0,0.0,Low,Dry,Car,56.0,9.0,Artificial Light,1.0
Clear,City Road,Afternoon,3.0,60.0,2.0,0.0,Medium,Dry,Car,63.0,18.0,Daylight,0.0
Cloudy,Highway,Afternoon,1.0,120.0,4.0,0.0,High,Under Construction,Truck,73.0,40.0,Daylight,1.0
Clear,Intersection,Evening,1.0,30.0,4.0,0.0,Medium,Dry,Car,48.0,26.0,Artificial Light,0.0
Clear,Highway,Afternoon,3.0,100.0,1.0,0.0,Low,Under Construction,Car,36.0,11.0,Dawn/Dusk,1.0
Clear,Intersection,Night,2.0,40.0,5.0,0.0,Low,Dry,Bus,19.0,0.0,Dark,1.0
Foggy,City Road,Evening,3.0,50.0,1.0,0.0,Medium,Wet,Car,54.0,31.0,Artificial Light,0.0
